StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q19,Q20,Q21,player_id,survey_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,User ID,Please indicate your Gender - Selected Choice,Please indicate your Gender - Other - Text,"How many DIY models (e.g. IKEA furniture, model airplane/car, etc.) have you assembled in the past?","How would you rate your experience (on a scale of 1-7) in assembling DIY models? 

1 - No experience at all, 7 - Highly experienced","How would you rate your skill (on a scale 1-7) in assembling DIY models?

1 - Not skilled at all, 7 - Highly skilled",How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert long bolt into large box,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw long bolt into large box,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert short bolt into small box,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw short bolt into small box,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert short wire,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert long wire,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Insert long bolt into large box,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Screw long bolt into large box,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Insert short bolt into small box,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Screw short bolt into small box,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Insert short wire,How would you rate the physical effort (on a scale of 1-7) required for the actions: - Insert long wire,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Insert long bolt into large box,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Screw long bolt into large box,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Insert short bolt into small box,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Screw short bolt into small box,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Insert short wire,How would you rate the mental effort (on a scale of 1-7) required for the actions: - Insert long wire,Explain (in 1-3 lines) why you performed actions in the sequence you demonstrated. You can also say why you did not choose a different sequence of actions.,What factors did you consider to decide the sequence of actions you demonstrated? - Physical effort required to perform actions,What factors did you consider to decide the sequence of actions you demonstrated? - Mental effort required to perform actions,What factors did you consider to decide the sequence of actions you demonstrated? - Familiarity,What factors did you consider to decide the sequence of actions you demonstrated? - Importance of actions to the assembly,"If you selected Yes for any of the factors above, please explain (in 1-2 lines) how each of the factors affected your preference.","Please list and explain any other factors you took into account for deciding your preferred order of actions. (If not, leave blank or type NA)",How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert main wing,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw long bolt to main wing,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert tail wing,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw long bolt to tail wing,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw propeller,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Screw propeller base with nut,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert long bolt in main wing,How would you rate your familiarity (on a scale of 1-7) with the following actions: - Insert long bolt in tail wing,"How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Insert main wing","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Screw long bolt to main wing","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Insert tail wing","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Screw long bolt to tail wing","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Screw propeller","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Screw propeller base with nut","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Insert long bolt in main wing","How would you rate the physical effort (on a scale of 1-7) required for the actions:
In task A, you rated the physical effort for screw long bolt = [QID49-ChoiceGroup-SelectedAnswers-3] - Insert long bolt in tail wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Insert main wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Screw long bolt to main wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Insert tail wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Screw long bolt to tail wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Screw propeller","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Screw propeller base with nut","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Insert long bolt in main wing","How would you rate the mental effort (on a scale of 1-7) required for the actions:


In task A, you rated the mental effort for insert long wire = [QID50-ChoiceGroup-SelectedAnswers-7] - Insert long bolt in tail wing",Explain (in 1-3 lines) why you performed actions in the sequence you demonstrated. You can also say why you did not choose a different sequence of actions.,What factors did you consider to decide the sequence of actions you demonstrated? - Physical effort required to perform actions,What factors did you consider to decide the sequence of actions you demonstrated? - Mental effort required to perform actions,What factors did you consider to decide the sequence of actions you demonstrated? - Familiarity to actions,What factors did you consider to decide the sequence of actions you demonstrated? - Importance of actions to the assembly,"If you selected Yes for any of the factors above, please explain (in 1-2 lines) how each of the factors affected your preference.","Please list and explain any other factors you took into account for deciding your preferred order of actions. (If not, leave blank or type NA)",How similar (on a scale of 1-7) was Task B to Task A?,How similar (on a scale 1-7) was your preference for Task B to Task A?,player_id,survey_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_3_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID50_5""}","{""ImportId"":""QID50_6""}","{""ImportId"":""QID50_7""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_9""}","{""ImportId"":""QID22_10""}","{""ImportId"":""QID22_11""}","{""ImportId"":""QID22_15""}","{""ImportId"":""QID22_16""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_8""}","{""ImportId"":""QID41_9""}","{""ImportId"":""QID41_10""}","{""ImportId"":""QID41_11""}","{""ImportId"":""QID41_15""}","{""ImportId"":""QID41_16""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_8""}","{""ImportId"":""QID42_9""}","{""ImportId"":""QID42_10""}","{""ImportId"":""QID42_11""}","{""ImportId"":""QID42_15""}","{""ImportId"":""QID42_16""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""player_id""}","{""ImportId"":""survey_id""}"
8/23/2021 15:20,8/23/2021 16:24,IP Address,207.151.52.95,100,3812,TRUE,8/23/2021 16:24,R_pKJKvBSbfps9AKB,,,,,34.03219604,-118.2835999,anonymous,EN,4,Female,,1-3 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,2,bREAK DOWN TASK as per large and small box. Screwing did not require focus so first. Long wire requires more time and more focus compare to screwing. Long wire before short as want to do tedious first.. ,No,Yes,Yes,No,As above,NA,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Section the assembly as tail, main, propeller. Tail wing first as just one bolt. Propeller require more effort, so at the end, more things to take care of. ",Yes,Yes,No,No,"Propeller had many elements so high mental effort, and thjerefore at the end.","At the start, more space so body actions first, then propeller.",4,2,10057,44853
8/23/2021 16:28,8/23/2021 18:04,IP Address,207.151.52.95,100,5793,TRUE,8/23/2021 18:04,R_2CVMR2ZLJ0Zmibi,,,,,34.03219604,-118.2835999,anonymous,EN,5,Male,,4-7 assemblies,5,5,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,7 (A lot of effort),1 (No effort at all),2,2,3,2,1 (No effort at all),2,1 (No effort at all),4,5,Short wire randomly as first. Wires first as it would take les stime than bolts. Worried that boltsmight hinder the wires.,No,Yes,No,Yes,"Less mentally tasking at the end, so i can verify other actrions",NA,7 (Highly familar),7 (Highly familar),7 (Highly familar),6,5,7 (Highly familar),7 (Highly familar),7 (Highly familar),2,3,2,3,7 (A lot of effort),1 (No effort at all),1 (No effort at all),1 (No effort at all),3,1 (No effort at all),2,1 (No effort at all),4,1 (No effort at all),1 (No effort at all),3,"Propeller was most annoying , also its seprate. Tail was also independent, wont hinder with main or propeller. Main wing at end, as it can restrict movement. Divided into 3 parts.",Yes,No,No,Yes,Resticting movement adds to physical effort.,,2,1 (Not at similar),73178,70184
8/24/2021 10:43,8/24/2021 12:08,IP Address,207.151.52.95,100,5143,TRUE,8/24/2021 12:08,R_2rjxpmUMERqsia0,,,,,34.03219604,-118.2835999,anonymous,EN,6,Male,,1-3 assemblies,4 (Somewhat),6,7 (Highly familiar),6,7 (Highly familiar),7 (Highly familiar),2,1 (Not at all familiar),1 (No effort at all),6,1 (No effort at all),2,4,5,1 (No effort at all),4,1 (No effort at all),2,5,7 (A lot of effort),Easiest to most difficult. Short bolt was easiest. Short wire next as no change in box. If all tools at one then long bolt next. Long screw is easier (mentally) than long wire. Allows to check box pose for next action.,No,Yes,Yes,No,Wires was cognitively tasking. Familiarity helped to form strategy of straightening wire for insert action.,Time required to move things around.,4,6,4,6,2,7 (Highly familar),7 (Highly familar),7 (Highly familar),4,7 (A lot of effort),2,7 (A lot of effort),7 (A lot of effort),3,1 (No effort at all),1 (No effort at all),6,1 (No effort at all),5,1 (No effort at all),7 (A lot of effort),2,1 (No effort at all),1 (No effort at all),"Plane crowds table. So propeller first (if nut fell down, easy to track). Tail was smaller, more chances of error as slot needs to be matched.",Yes,Yes,Yes,No,"Screwing takes a bit of effort, so at the end together. Propeller required more mental effort. Tail wing required more mental effor tthan amin wing. Propeller not easy, less familiar so first.","Crowding of the table. Bunch togther similar actions. If space not an issue, would have done all screwing togther.",4,2,92450,83411
8/24/2021 12:22,8/24/2021 13:34,IP Address,207.151.52.95,100,4295,TRUE,8/24/2021 13:34,R_SYSy5WL1KBNQyWd,,,,,34.03219604,-118.2835999,anonymous,EN,7,Male,,1-3 assemblies,3,4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),6,1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),Do small box first as easier. Felt that bolt and then wire was logical order. Large box actions take more time. Same reasoning for bolt before wire.,Yes,Yes,Yes,No,"More familiar with bolt, so part of the reason is this.Wire required bit more focus (so consider mental effort). ","Wanted to complete one box first, then move to other box.",7 (Highly familar),6,7 (Highly familar),5,6,5,7 (Highly familar),6,1 (No effort at all),2,1 (No effort at all),3,2,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),2,1 (No effort at all),3,1 (No effort at all),1 (No effort at all),Main wing later would be difficult to install. Main wing and tail wing can be done in the same body pose. Finish one part first. Difficult move plan around after installing propeller.,Yes,Yes,No,No,Propeller was a bit difficult (main factor was mobility).,Ease of movement.,4,4,14495,81083
8/24/2021 15:14,8/24/2021 16:37,IP Address,207.151.52.95,100,4992,TRUE,8/24/2021 16:37,R_1jvKJYFKi2jZcnT,,,,,34.03219604,-118.2835999,anonymous,EN,8,Male,,4-7 assemblies,5,6,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),3,6,1 (No effort at all),2,3,6,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,5,"less effort for the short wire so doing it at first,longest bolt is the hardest part saving it to the end. Similar actions together. ",Yes,Yes,No,No,The same as above,N/A,6,7 (Highly familar),6,7 (Highly familar),6,7 (Highly familar),7 (Highly familar),7 (Highly familar),2,3,1 (No effort at all),2,4,1 (No effort at all),3,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),3,2,1 (No effort at all),1 (No effort at all),"Tail wing first because it is eaiser than the main wing. Propeller is harder than the main wing, latterdoing it. ",Yes,No,Yes,Yes,"Importance: propller before insert base into the plane, otherwise harder. Physical: easiest to hardest. Familiar: screwing action for main wing and tail wing is familiar so doing it first.
",N/A,2,6,63629,26458
8/24/2021 16:51,8/24/2021 18:29,IP Address,207.151.52.95,100,5885,TRUE,8/24/2021 18:29,R_28CWKU4S1QavKsd,,,,,34.03219604,-118.2835999,anonymous,EN,9,Male,,1-3 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),6,7 (Highly familiar),6,5,4,1 (No effort at all),2,1 (No effort at all),2,3,5,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,3,"Small first, bolt first. Easier first than harder",Yes,Yes,Yes,No,Mental effort is much more important than physical effort. Familiarity: familiar first. Screwing bolt requires less mental effort than inserting wire.,Prior fatigue level,4,7 (Highly familar),4,7 (Highly familar),6,7 (Highly familar),7 (Highly familar),7 (Highly familar),2,2,1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),"Propeller first, too many elements, did it first to be sure. Main second, tail wing second will be inconvinient or broken the tail. ",No,Yes,No,Yes,"Importance: peropeller first due to messed  up the orientation of the blades. Mental effort: the same reason, hardest to easiest.",Not wanting parts to break.,2,2,79828,74020
8/25/2021 14:10,8/25/2021 16:25,IP Address,207.151.52.145,100,8139,TRUE,8/25/2021 16:25,R_56fgCpuuqilohGN,,,,,34.03219604,-118.2835999,anonymous,EN,10,Male,,1-3 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),6,6,2,5,1 (No effort at all),1 (No effort at all),3,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),4,4,"Bolts and screw first because it takes more time, big box first becaus it takes longer",Yes,No,No,No,long bolts requires more effort,Actions that longer time and more effort will have priority,7 (Highly familar),7 (Highly familar),7 (Highly familar),5,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,"Major part on the airplane body first, and then do the screwing. Main wing for supporting the body. Left to right: propeller to tail",No,No,Yes,Yes,"Most familiar action in the end
",Main wing helps to suport the body and make other tasks easier. Left to right.,3,3,69383,30497
8/25/2021 16:29,8/25/2021 17:52,IP Address,207.151.52.145,100,4953,TRUE,8/25/2021 17:52,R_9FG5oqum7Qb7jXz,,,,,34.03219604,-118.2835999,anonymous,EN,11,Male,,4-7 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,4,1 (No effort at all),1 (No effort at all),2,3,2,2,2,2,2,3,"Max effort first, wire requires more effort (with gloves)",Yes,No,No,No,Long wire and long bolt first due to physical effort,NA,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),3,2,2,2,2,2,2,2,2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),"Tail wing is easy, small screw in propeller needs more attention, main/tail wing screws are relvatily easy and better to do them together, attaching the propeller is the easiets/last",Yes,Yes,No,No,"Prefer physically demanding actions first
Prefer mentally less demanding actions first
",NA,2,6,10888,54329
